"Source:","/home/sladekm/Projects/kicad/ESP32C3RelayBoard/ESP32C3RelayBoard.kicad_sch"
"Date:","Sun 23 Jul 2023 22:49:59 CEST"
"Tool:","Eeschema 7.0.6-7.0.6~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","12"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","0.22uF/6.3V","C","Resistor_SMD:R_1206_3216Metric","Unpolarized capacitor","",""
"C2","1","2.2uF","C","Resistor_SMD:R_1210_3225Metric","Unpolarized capacitor","",""
"C3","1","0.22uF","C","Resistor_SMD:R_1206_3216Metric","Unpolarized capacitor","",""
"D1","1","MMBD914","D","Package_TO_SOT_SMD:SOT-323_SC-70","Diode","",""
"D2, D3","2","VS-1ENH01-M3_84A","VS-1ENH01-M3_84A","Vishay:VS1ENH01M384A","Rectifiers FRED -SMP RECTIFIER 1A 100VBR","",""
"J1","1","Screw_Terminal_01x03","Screw_Terminal_01x03","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal","Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"K1","1","G5RL-K1-E-DC5_1","G5RL-K1-E-DC5_1","Omron:Omron-G5RL-K1-E-MFG","G5RL-K1-E-DC12","",""
"R1","1","10","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"U1","1","FAN3240TMX","FAN3240TMX","Onsemi:SOIC127P600X175-8N","","",""
"U2, U3","2","INA232AIDDFR","INA232AIDDFR","TexasInstruments:SOT_32AIDDFR_TEX","","",""
